
2021/10/14 (09:48:26) | ERROR: Runner thread died unexpectedly!
2021/10/14 (09:48:26) | INFO: Quitting! Runtime: 00:00:00

2021/10/14 (09:49:22) | ===> btop++ v.1.0.2
2021/10/14 (09:49:22) | INFO: Logger set to DEBUG
2021/10/14 (09:49:22) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/10/14 (09:49:22) | INFO: Running on /dev/pts/6
2021/10/14 (09:49:22) | ERROR: Runner thread died unexpectedly!
2021/10/14 (09:49:22) | INFO: Quitting! Runtime: 00:00:00

2021/10/14 (09:49:23) | ===> btop++ v.1.0.2
2021/10/14 (09:49:23) | INFO: Logger set to DEBUG
2021/10/14 (09:49:23) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/10/14 (09:49:23) | INFO: Running on /dev/pts/6
2021/10/14 (09:49:23) | ERROR: Runner thread died unexpectedly!
2021/10/14 (09:49:23) | INFO: Quitting! Runtime: 00:00:00

2021/10/14 (11:22:35) | ===> btop++ v.1.0.2
2021/10/14 (11:22:35) | INFO: Logger set to DEBUG
2021/10/14 (11:22:35) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/10/14 (11:22:35) | INFO: Running on /dev/pts/3

2021/10/14 (11:22:39) | ===> btop++ v.1.0.2
2021/10/14 (11:22:39) | INFO: Logger set to DEBUG
2021/10/14 (11:22:39) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/10/14 (11:22:39) | INFO: Running on /dev/pts/3
2021/10/14 (11:22:39) | ERROR: Runner thread died unexpectedly!
2021/10/14 (11:22:39) | INFO: Quitting! Runtime: 00:00:00

2021/10/14 (11:22:40) | ===> btop++ v.1.0.2
2021/10/14 (11:22:40) | INFO: Logger set to DEBUG
2021/10/14 (11:22:40) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/10/14 (11:22:40) | INFO: Running on /dev/pts/3

2021/10/14 (11:22:46) | ===> btop++ v.1.0.2
2021/10/14 (11:22:46) | INFO: Logger set to DEBUG
2021/10/14 (11:22:46) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/10/14 (11:22:46) | INFO: Running on /dev/pts/5
2021/10/14 (11:22:46) | ERROR: Runner thread died unexpectedly!
2021/10/14 (11:22:46) | INFO: Quitting! Runtime: 00:00:00

2021/10/15 (07:56:49) | ===> btop++ v.1.0.2
2021/10/15 (07:56:49) | INFO: Logger set to DEBUG
2021/10/15 (07:56:49) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/10/15 (07:56:49) | INFO: Running on /dev/pts/1
2021/10/15 (07:56:50) | INFO: Quitting! Runtime: 00:00:01
